model,client,horizon,rmse,mae,mean_actual,nmae,nrmse
iTransformer,29,168,86.8877,67.6921,152.20833333333334,0.44473320558445106,0.5708471940870516
iTransformer,62,24,14.4233,11.6085,157.625,0.07364631245043615,0.09150388580491672
iTransformer,62,48,20.3297,15.2995,158.25,0.09667930489731438,0.12846571879936808
iTransformer,62,168,18.3886,14.3088,158.75595238095238,0.09013079374601628,0.11582935772936898
iTransformer,269,24,23.3588,17.6981,303.375,0.05833737124021426,0.07699645653069633
iTransformer,269,48,22.9553,17.4951,306.0,0.057173529411764706,0.07501732026143791
iTransformer,269,168,28.6146,20.1563,304.9761904761905,0.06609138886720275,0.09382568506518854
TabPFN-TS,313,24,6610.4338,5126.3857,160037.5,0.03203240303053972,0.04130553026634382
TabPFN-TS,313,48,11101.3834,8494.703,162718.75,0.05220481966583445,0.06822436504705205
TabPFN-TS,313,168,44218.1962,28989.2081,185339.88095238095,0.15641106463993115,0.23857896084092609
TabPFN-TS,155,24,3477.342,2862.4521,68197.625,0.04197290008266417,0.05098919500495802
TabPFN-TS,155,48,2954.7726,2428.5131,67988.39583333333,0.03571952346034541,0.04345995465525214
TabPFN-TS,155,168,10222.8952,6674.6082,72612.46428571429,0.0919209706716035,0.14078705771195324
TabPFN-TS,236,24,5648.3149,4599.875,46083.291666666664,0.09981654594624408,0.12256752275544554
TabPFN-TS,236,48,4529.0755,3564.1223,45068.8125,0.07908178854279775,0.10049245251358686
TabPFN-TS,236,168,4354.9802,3709.9844,45445.32142857143,0.08163622312213499,0.09582901084427205
TabPFN-TS,167,24,858.8834,678.5282,22328.791666666668,0.03038803935875019,0.03846528790369683
TabPFN-TS,167,48,992.0458,852.8067,22571.5625,0.037782351133201345,0.04395113541652245
TabPFN-TS,167,168,2177.9346,1741.4669,23553.589285714286,0.07393637032875638,0.09246720631750847
TabPFN-TS,186,24,752.6592,600.7794,21295.75,0.028211234636018923,0.03534316471596446
TabPFN-TS,186,48,1559.9432,1109.9761,21867.0,0.050760328348653225,0.07133777838752457
TabPFN-TS,186,168,1901.9398,1508.1427,22300.440476190477,0.06762838167300775,0.08528709565313947
TabPFN-TS,315,24,1465.5793,1111.524,15169.458333333334,0.07327380949111015,0.09661381888498546
TabPFN-TS,315,48,1766.8604,1173.5866,15534.0625,0.07554923897081012,0.11374103844374259
TabPFN-TS,315,168,1917.0141,1219.7453,15138.630952380952,0.08057170452445454,0.126630611845287
TabPFN-TS,290,24,780.5266,520.9719,11255.541666666666,0.04628581328456723,0.06934598290471732
TabPFN-TS,290,48,812.1523,602.2167,11390.9375,0.05286805410002469,0.071298108693863
TabPFN-TS,290,168,1822.3728,1089.5842,11793.77380952381,0.09238639112445328,0.15451990426748577
TabPFN-TS,179,24,641.6304,474.5846,10713.291666666666,0.04429867259906892,0.05989106055950747
TabPFN-TS,179,48,583.9203,464.0289,10727.625,0.04325551088894327,0.05443146083126507
TabPFN-TS,179,168,843.855,725.1149,10976.940476190477,0.06605801512477998,0.07687524605151708
TabPFN-TS,119,24,179.3582,141.0015,10409.708333333334,0.013545192188381837,0.017229896771043057
TabPFN-TS,119,48,280.0469,225.2491,10531.104166666666,0.02138893476269701,0.026592358746807574
TabPFN-TS,119,168,526.7837,418.8226,10688.47619047619,0.03918450044106247,0.049285201240321125
TabPFN-TS,314,24,480.4996,385.4187,7330.25,0.05257920261928311,0.06555023362095426
TabPFN-TS,314,48,499.8355,385.6601,7309.6875,0.052760135094694544,0.06837987260057288
TabPFN-TS,314,168,1594.6547,971.9586,8043.922619047619,0.12083142094112755,0.19824341624370365
TabPFN-TS,317,24,19.469,11.8139,45.041666666666664,0.2622882516188714,0.4322442183163738
TabPFN-TS,317,48,22.1672,12.8259,39.375,0.3257371428571429,0.562976507936508
TabPFN-TS,317,168,33.2363,19.591,42.642857142857146,0.4594204355108878,0.7794107202680066
TabPFN-TS,240,24,71.3018,45.8871,966.75,0.04746532195500387,0.07375412464442721
TabPFN-TS,240,48,62.6682,44.4252,969.9375,0.04580212642567175,0.0646105548037889
TabPFN-TS,240,168,74.6863,61.9068,990.9107142857143,0.06247464994323403,0.07537137193418753
TabPFN-TS,26,24,27.1173,20.7039,289.5833333333333,0.0714954820143885,0.09364247482014389
TabPFN-TS,26,48,41.4248,27.4462,299.625,0.09160183562786817,0.1382554860241969
TabPFN-TS,26,168,42.3807,31.0752,302.7261904761905,0.10265117778913838,0.1399968067953911
TabPFN-TS,203,24,34.4196,28.9603,737.2916666666666,0.03927929923707262,0.046683831590844875
TabPFN-TS,203,48,36.0039,29.0225,739.875,0.03922622064537929,0.04866213887480993
TabPFN-TS,203,168,63.617,48.2984,764.1607142857143,0.06320450540976327,0.08325081204869955
TabPFN-TS,134,24,99.9322,72.7168,380.2083333333333,0.19125514520547948,0.26283537534246576
TabPFN-TS,134,48,113.9292,84.4561,382.25,0.22094466971877044,0.29804892086330936
TabPFN-TS,134,168,135.7251,101.0691,318.80357142857144,0.31702624768946397,0.42573268358259114
